,id,duration,start_date,start_station,end_date,end_station,bike_number,sub_type,zip_code,birth_date,gender
231,238,685,2011-07-28 17:59:00,42,2011-07-28 18:10:00,23,B00340,Casual,,,
232,239,1097,2011-07-28 17:57:00,22,2011-07-28 18:16:00,25,B00040,Registered,'02118,1978.0,Female
233,240,1113,2011-07-28 17:57:00,22,2011-07-28 18:16:00,25,B00298,Registered,'02118,1979.0,Female
234,241,1302,2011-07-28 18:02:00,41,2011-07-28 18:24:00,46,B00215,Casual,,,
235,242,569,2011-07-28 18:02:00,36,2011-07-28 18:11:00,42,B00385,Casual,,,
236,243,187,2011-07-28 18:03:00,47,2011-07-28 18:07:00,38,B00419,Casual,,,
237,244,1251,2011-07-28 18:03:00,41,2011-07-28 18:24:00,46,B00094,Casual,,,
238,245,3886,2011-07-28 18:03:00,38,2011-07-28 19:08:00,15,B00464,Casual,,,
239,246,3798,2011-07-28 18:03:00,38,2011-07-28 19:06:00,15,B00082,Casual,,,
240,247,3177,2011-07-28 18:04:00,33,2011-07-28 18:57:00,33,B00223,Casual,,,
241,248,952,2011-07-28 18:04:00,36,2011-07-28 18:20:00,27,B00353,Registered,'02130,1984.0,Male
242,249,787,2011-07-28 18:08:00,36,2011-07-28 18:21:00,36,B00528,Registered,'02116,1987.0,Male
243,250,192,2011-07-28 18:10:00,10,2011-07-28 18:13:00,9,B00008,Casual,,,
244,251,736,2011-07-28 18:12:00,35,2011-07-28 18:24:00,36,B00016,Casual,,,
245,252,1549,2011-07-28 18:14:00,42,2011-07-28 18:39:00,42,B00385,Casual,,,
246,253,569,2011-07-28 18:14:00,23,2011-07-28 18:23:00,35,B00556,Casual,,,
247,254,970,2011-07-28 18:14:00,23,2011-07-28 18:31:00,23,B00546,Casual,,,
248,255,1050,2011-07-28 18:14:00,27,2011-07-28 18:32:00,30,B00189,Casual,,,
249,256,1265,2011-07-28 18:18:00,25,2011-07-28 18:40:00,25,B00298,Registered,'02118,1981.0,Male
250,257,835,2011-07-28 18:19:00,36,2011-07-28 18:33:00,9,B00390,Registered,'02116,1983.0,Male
251,258,784,2011-07-28 18:20:00,36,2011-07-28 18:33:00,9,B00198,Registered,'02116,1981.0,Female
252,259,6481,2011-07-28 18:24:00,26,2011-07-28 20:12:00,26,B00046,Casual,,,
253,260,1490,2011-07-28 18:22:00,38,2011-07-28 18:47:00,32,B00131,Registered,'02130,1975.0,Male
254,261,408,2011-07-28 18:25:00,39,2011-07-28 18:32:00,16,B00279,Casual,,,
255,262,1028,2011-07-28 18:24:00,16,2011-07-28 18:42:00,22,B00562,Registered,'02127,1968.0,Male
256,263,1016,2011-07-28 18:29:00,5,2011-07-28 18:46:00,46,B00565,Casual,,,
257,264,1955,2011-07-28 18:29:00,3,2011-07-28 19:02:00,22,B00071,Registered,'02118,1967.0,Male
258,265,267,2011-07-28 18:32:00,46,2011-07-28 18:36:00,46,B00215,Registered,'02118,1989.0,Male
259,266,2732,2011-07-28 18:34:00,45,2011-07-28 19:19:00,45,B00409,Casual,,,
